gene    type    p_val   value
LRRC17  Gain    1e-04   0.2
MET     Gain    1e-04   0.18
BRAF    Gain    1e-04   0.1
KMT2C   Gain    1e-04   0.11
NKX3-1  Gain    1e-04   0.06
PXDNL   Gain    1e-04   0.18
NCOA2   Gain    1e-04   0.17
MYC     Gain    1e-04   0.08
CDKN2A  Gain    1e-04   0.19
FANCG   Gain    1e-04   0.16
GRHPR   Gain    1e-04   0.09
C9orf47 Gain    1e-04   0.15
FANCC   Gain    1e-04   0.13
PTEN    Gain    1e-04   0.26
CCND1   Gain    1e-04   0.45
RSF1    Gain    1e-04   0.09
ATM     Gain    1e-04   0.13
ZBTB16  Gain    1e-04   0.12
CDKN1B  Gain    1e-04   0.11
KRAS    Gain    1e-04   0.21
KMT2D   Gain    1e-04   0.17
CDK4    Gain    1e-04   0.16
MDM2    Gain    1e-04   0.14
MTIF3   Gain    1e-04   0.12
BRCA2   Gain    1e-04   0.22
RB1     Gain    1e-04   0.24
FOXA1   Gain    1e-04   0.22
ATG14   Gain    1e-04   0.11
RAD51B  Gain    1e-04   0.19
AKT1    Gain    1e-04   0.55
MESDC2  Gain    1e-04   0.13
IDH2    Gain    1e-04   0.15
PALB2   Gain    1e-04   0.13
CYLD    Gain    1e-04   0.13
TK2     Gain    1e-04   0.18
ZFHX3   Gain    1e-04   0.19
FANCA   Gain    1e-04   0.47
OR3A3   Gain    1e-04   0.21
TP53    Gain    1e-04   0.34
CDK12   Gain    1e-04   0.29
BRCA1   Gain    1e-04   0.25
SPOP    Gain    1e-04   0.33
RNF43   Gain    1e-04   0.13
RAD51C  Gain    1e-04   0.16
BRIP1   Gain    1e-04   0.14
RNF125  Gain    1e-04   0.12
ERCC2   Gain    1e-04   0.42
ERCC1   Gain    1e-04   0.42
CST7    Gain    1e-04   0.18
ASXL1   Gain    1e-04   0.28
L3MBTL1 Gain    1e-04   0.19
AURKA   Gain    1e-04   0.14
GNAS    Gain    1e-04   0.17
MIS18A  Gain    1e-04   0.16
ERG_TMPRSS2     Gain    1e-04   0.21
ETS2    Gain    1e-04   0.17
IGSF5   Gain    1e-04   0.17
MX2     Gain    1e-04   0.15
MX1     Gain    1e-04   0.18
TOP3B   Gain    1e-04   0.18
CHEK2   Gain    1e-04   0.21
KDM6A   Gain    1e-04   0.57
AR      Gain    1e-04   0.55
TEX11   Gain    1e-04   0.44
MED12   Gain    1e-04   0.52
HDAC8   Gain    1e-04   0.5
SMARCA1 Gain    1e-04   0.53
ARID1A  Loss    0.05    -0.1
HSD3B1  Loss    0.05    -0.07
FCER1A  Loss    0.05    -0.08
MDM4    Loss    0.05    -0.09
MYCN    Loss    0.05    -0.1
SPDYA   Loss    0.05    -0.06
MSH2    Loss    0.05    -0.06
MSH6    Loss    0.05    -0.06
IL1RL2  Loss    0.05    -0.1
ERCC3   Loss    0.05    -0.09
IDH1    Loss    0.05    -0.13
FANCD2  Loss    0.05    -0.08
MLH1    Loss    0.05    -0.08
CTNNB1  Loss    0.05    -0.06
ATXN7   Loss    0.05    -0.08
FOXP1   Loss    0.05    -0.1
RYBP    Loss    0.05    -0.07
NIT2    Loss    0.05    -0.09
PIK3CB  Loss    0.05    -0.06
ATR     Loss    0.05    -0.11
PIK3CA  Loss    0.05    -0.11
UGT2B17 Loss    0.05    -0.99
ENPEP   Loss    0.05    -0.09
FBXW7   Loss    0.05    -0.1
PIK3R1  Loss    0.05    -0.09
CHD1    Loss    0.05    -0.13
APC     Loss    0.05    -0.09
DRD1    Loss    0.05    -0.07
ZBTB9   Loss    0.05    -0.15
HDAC2   Loss    0.05    -0.15
FAM183B Loss    0.05    -0.09
CDK6    Loss    0.05    -0.12
LRRC17  Loss    0.05    -0.11
MET     Loss    0.05    -0.09
BRAF    Loss    0.05    -0.06
KMT2C   Loss    0.05    -0.06
NKX3-1  Loss    0.05    -0.06
PXDNL   Loss    0.05    -0.09
